short_name,overall,nationality,team_position,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
F. Álvarez,69,Argentina,CAM,26,184,70,60,67,48,72,59,76,60,52,67,71,74,72,68,62,59,66,61,74,67,60,49,34,51,71,57,55,29,28,23,8,6,14,7,11
F. Ali,61,Sweden,LM,27,183,70,56,51,44,62,45,62,59,54,58,60,67,66,70,58,69,60,60,73,57,58,66,51,50,58,57,56,43,44,42,13,13,13,9,12
F. Al Sagour,60,Saudi Arabia,RB,23,177,60,58,48,40,56,44,59,44,36,49,60,81,82,66,53,77,45,49,58,50,31,46,56,53,50,48,43,54,56,58,7,7,12,11,14
F. Al Qarni,67,Saudi Arabia,GK,27,184,88,11,16,14,29,13,13,20,14,39,17,42,46,50,62,52,47,58,31,52,12,24,18,16,21,23,46,30,14,13,67,64,63,66,72
F. Al Aiyaf,63,Saudi Arabia,LDM,27,167,62,58,44,56,65,43,65,62,59,62,64,70,69,80,58,71,56,52,73,40,46,46,55,58,63,57,57,52,58,56,7,12,12,7,14
F. Agu,64,Germany,RB,19,180,66,64,46,60,65,47,71,61,31,40,66,83,80,88,70,83,36,70,69,38,51,65,62,42,65,40,51,53,57,52,11,15,10,12,10
F. Adjei,61,Ghana,LWB,28,184,77,61,50,44,57,45,63,44,42,52,58,75,76,65,61,58,69,50,65,72,55,58,54,46,52,52,56,60,60,47,9,15,12,15,7
Ewerton,69,Brazil,RCM,26,179,69,59,53,58,71,56,69,66,56,64,70,58,56,64,70,69,72,83,74,69,66,70,72,61,65,57,72,72,72,65,9,9,11,8,9
Éverton Luiz,68,Brazil,RDM,31,173,70,63,42,56,67,57,65,38,70,65,68,59,49,60,68,78,76,71,52,63,64,78,72,47,62,57,67,70,66,71,10,8,10,14,11
Ever Sineiro,69,Brazil,LM,31,167,60,66,62,71,67,60,73,67,56,60,70,78,70,83,76,82,62,60,64,57,54,60,65,65,64,66,70,10,38,40,7,14,12,16,11
Escriche,67,Spain,ST,21,182,75,35,70,69,63,59,64,49,46,40,68,69,67,61,64,69,64,68,64,56,61,32,23,65,55,64,49,55,17,14,12,8,11,13,10
Escassi,70,Spain,RDM,30,185,78,60,36,67,68,36,57,47,60,64,70,56,38,70,69,63,46,72,83,73,43,77,71,50,55,49,57,73,67,64,16,11,8,7,7
Ernesto,66,Spain,RM,24,173,70,65,68,62,64,60,66,62,58,58,64,78,75,65,51,72,65,59,66,46,63,35,20,69,58,50,57,34,18,22,11,7,5,13,9
Eric,70,Brazil,RW,33,176,84,71,70,53,69,67,68,70,69,67,72,72,73,66,65,61,71,56,73,75,69,48,47,69,70,69,71,38,33,35,14,14,13,7,16
Enzio Julião,68,Brazil,ST,35,185,78,37,70,65,63,59,66,47,48,51,69,71,76,72,65,68,58,59,72,67,62,58,32,72,68,61,72,17,39,42,8,13,8,11,9
Elsinho,60,Brazil,RDM,28,192,72,38,30,48,64,26,46,32,59,65,48,66,69,49,69,50,61,55,54,54,37,51,60,31,35,59,65,68,60,59,11,15,9,7,11
Elgezabal,68,Spain,RCB,26,185,74,40,24,66,63,32,39,36,46,62,60,58,52,56,59,55,58,75,62,71,26,72,66,38,46,41,61,66,67,68,8,14,14,15,6
Eduardo Neto,67,Brazil,RCM,30,185,76,62,38,47,67,58,60,63,44,63,64,65,66,60,65,53,71,81,66,83,71,70,68,57,45,43,65,65,70,64,7,8,7,8,9
Edu Cortina,66,Spain,CDM,22,174,64,59,54,39,69,41,65,61,57,66,68,60,55,66,66,75,56,35,74,47,48,72,58,57,66,45,63,54,54,52,7,10,12,11,13
Edsinho Torres,70,Brazil,LB,35,178,77,73,48,70,62,43,48,44,63,60,75,62,76,63,65,72,62,62,79,65,59,75,57,55,48,70,62,68,68,77,10,10,12,11,11
Edgar,69,Brazil,RS,32,191,87,60,68,70,65,69,65,71,44,60,64,54,65,55,68,54,74,65,69,76,66,73,24,72,63,80,71,32,27,25,15,6,10,16,13
E. Zenga,66,Germany,RDM,26,181,76,60,51,59,69,47,68,59,48,67,69,65,58,72,68,69,58,75,63,65,49,66,62,57,65,45,60,62,58,59,8,8,13,12,11
E. Zejnullahu,66,Kosovo,LCM,24,180,74,55,51,51,68,53,68,70,59,65,67,74,69,76,62,79,69,64,68,57,64,68,63,59,66,49,60,59,65,61,13,12,12,14,6
E. Yeşilyurt,61,Germany,RM,25,178,72,65,55,36,64,40,65,36,40,57,66,67,62,69,52,63,51,66,58,60,37,53,22,54,45,49,50,25,40,39,13,15,12,16,9
E. Wiemberg,60,Chile,LB,25,178,75,61,24,51,60,31,56,42,53,53,60,63,64,59,54,57,49,68,48,52,49,49,60,48,31,38,42,52,64,62,12,13,7,14,9
E. Verstappen,62,Netherlands,GK,25,196,88,16,12,17,24,19,15,17,10,25,22,34,41,28,59,27,46,62,35,69,15,35,22,16,38,20,27,15,16,19,62,59,61,61,61
E. Velarde,68,Mexico,LB,33,174,70,70,52,57,66,61,60,60,60,64,65,68,68,71,69,69,66,73,70,72,61,65,66,56,64,63,63,68,68,68,9,8,13,10,10
E. Valla Dønnem,63,Norway,CM,28,183,80,51,49,54,62,44,57,45,43,58,64,65,63,59,54,61,57,66,77,78,48,72,61,45,63,52,48,58,59,55,10,5,11,12,10
E. Valencia,65,Colombia,RM,22,175,70,57,50,48,62,39,68,44,61,58,62,82,83,85,58,75,52,59,75,58,49,39,38,63,58,45,63,51,39,43,14,10,9,11,9
E. Vaessen,64,Netherlands,GK,23,187,89,13,11,11,27,10,7,14,16,29,26,35,36,27,56,37,44,59,29,56,8,28,11,7,36,16,30,10,12,8,65,62,58,64,67
E. Upson,64,England,RCM,29,180,73,57,58,50,63,38,62,66,62,60,65,59,63,70,56,73,62,85,86,68,62,73,51,56,63,57,67,56,64,59,7,14,12,9,10
E. Tønne,65,Norway,LW,28,180,75,67,60,33,65,49,63,62,60,58,64,71,75,73,63,72,56,74,75,70,58,57,57,61,69,51,60,55,61,60,11,8,16,12,15
E. Soriano,68,Germany,ST,30,184,84,48,67,68,55,62,65,59,43,51,63,74,73,68,61,80,70,75,83,80,54,58,23,70,40,69,68,24,21,19,9,11,9,15,12
E. Serje,65,Colombia,LDM,23,178,72,35,43,52,64,39,57,33,36,59,63,65,53,60,65,67,45,65,87,60,58,66,66,64,58,39,68,55,65,62,6,15,8,6,13
E. Segura,69,Colombia,LCB,22,175,70,23,31,63,63,25,41,23,30,56,56,58,66,61,64,60,36,78,71,76,22,69,67,26,32,30,63,71,72,66,12,12,13,6,13
E. Sakic,68,Austria,RB,28,177,70,68,45,58,65,37,63,56,51,63,66,74,76,73,64,72,63,72,67,61,58,66,67,62,62,36,63,68,68,66,8,7,11,11,12
E. Sabbi,68,United States,RM,21,178,70,52,63,55,60,59,74,58,43,51,72,89,89,91,61,87,65,95,67,54,61,46,17,67,57,54,63,34,35,29,14,13,8,10,7
E. Ruud,69,Norway,RB,35,182,76,72,58,65,70,58,61,80,74,68,67,65,62,72,75,64,84,76,72,76,67,76,69,60,67,62,68,63,68,67,12,13,12,10,15
E. Riis,62,Denmark,RS,21,190,84,32,61,65,51,42,58,37,31,30,61,66,68,58,53,53,63,54,61,68,58,49,12,63,48,59,58,18,14,15,13,5,13,10,14
E. Reijnen,69,Netherlands,RCB,32,190,85,40,18,72,69,34,53,37,30,69,62,39,35,36,64,37,50,69,64,80,24,64,71,58,52,41,63,68,63,65,12,8,15,14,11
E. Rashani,68,Kosovo,RW,26,181,71,65,63,53,60,57,69,61,64,50,70,81,85,80,62,63,60,58,67,63,58,64,43,69,66,53,68,42,32,28,15,6,12,12,10
E. Pogatetz,68,Austria,RCB,36,191,90,33,26,65,66,24,29,22,23,49,38,31,30,32,60,49,48,64,56,91,36,80,62,43,23,45,63,67,69,62,8,8,9,10,8
E. Pinnock,70,England,LCB,26,194,79,42,33,69,63,33,57,40,37,59,61,73,69,63,63,56,50,70,75,82,31,67,69,39,57,44,69,68,69,69,5,9,13,6,8
E. Papa,69,Argentina,LB,37,169,67,71,37,57,72,43,67,82,59,65,73,70,70,77,72,80,57,71,80,50,51,66,66,58,67,57,59,65,62,63,8,6,8,14,10
E. Pap,64,Romania,GK,25,182,82,14,6,10,25,5,11,12,14,22,13,32,17,29,58,38,45,45,26,32,7,26,6,7,29,17,32,5,11,11,68,63,60,59,65
E. Palomeque,68,Colombia,RCB,26,193,83,23,25,74,50,24,28,26,24,33,48,45,40,30,55,30,39,73,67,91,25,67,67,22,32,39,54,69,68,60,9,15,9,12,7
E. Oyeleke,61,England,RCM,26,175,75,53,49,54,63,46,60,53,42,59,64,79,76,80,62,73,62,75,72,67,48,75,58,48,55,46,62,61,62,57,13,16,7,13,13
E. Owusu,70,France,CDM,21,182,72,58,44,57,72,56,69,56,45,68,73,65,70,67,66,72,63,69,67,73,52,71,70,55,63,50,65,71,68,65,12,10,5,12,9
E. Ohemeng,68,Ghana,LW,23,175,65,54,54,40,62,50,78,48,41,38,71,92,90,85,63,85,69,63,59,45,62,31,22,59,57,50,71,21,24,21,8,6,9,16,14
E. Ocansey,69,Ghana,RM,21,173,71,57,60,49,63,65,74,67,42,58,69,89,84,91,66,81,77,90,69,52,71,52,27,66,60,44,70,21,22,26,10,10,6,13,9
E. O'Connell,65,Republic of Ireland,RCB,23,191,80,27,33,62,56,29,53,30,32,67,64,45,51,61,55,36,54,75,62,74,49,84,60,46,60,36,67,60,63,62,13,11,15,12,8
E. Nolan,61,Republic of Ireland,LCB,30,185,77,58,35,57,55,22,51,45,40,50,55,68,64,71,60,57,43,67,77,69,39,60,58,51,43,41,52,64,58,58,15,14,10,8,16
E. Mosquera,66,Colombia,LB,28,182,77,71,36,68,56,34,55,59,34,57,59,69,70,61,60,57,62,75,76,75,47,60,63,54,57,49,59,60,65,68,10,6,12,15,13
E. Mensah,61,Ghana,LW,21,170,65,54,56,50,48,48,64,51,32,44,61,81,84,85,56,90,54,78,62,43,52,24,22,55,56,46,52,22,25,23,13,8,7,12,12
E. Méndez,69,Argentina,CDM,30,186,82,44,42,62,71,37,62,47,37,64,67,59,57,49,58,47,63,59,76,86,53,70,59,49,65,48,53,75,69,63,10,14,14,14,9
E. Mathoho,69,South Africa,RCB,29,190,76,34,42,78,51,31,46,25,22,57,63,57,66,41,62,40,56,72,72,75,22,66,61,32,46,37,66,66,70,71,13,12,6,10,10
E. Massouema,65,France,RCM,22,184,71,49,38,62,70,44,62,52,47,67,66,65,67,68,63,59,66,64,70,72,50,59,64,61,58,51,59,57,68,62,15,11,14,12,6
E. Marxen,63,Denmark,LCB,28,185,80,64,41,60,64,34,62,63,61,61,64,66,66,63,59,58,51,61,73,68,61,59,61,49,38,56,56,63,63,62,9,7,11,12,11
E. Manu,68,Netherlands,RM,25,173,70,61,59,59,58,67,73,65,52,44,71,92,92,79,66,80,77,68,70,77,70,74,22,65,46,52,67,32,26,23,6,9,14,9,10
E. López,69,Mexico,CAM,24,167,67,58,65,41,69,53,76,65,64,62,74,73,76,85,53,86,76,68,64,48,73,32,17,63,70,61,70,47,32,26,14,12,7,12,12
E. Lombardo,65,France,LM,22,174,69,60,56,38,68,59,68,64,58,64,65,69,77,78,47,81,61,54,58,39,55,43,27,60,65,52,63,34,36,49,7,7,13,13,13
E. Lichaj,69,United States,RB,30,178,80,60,40,57,64,48,65,48,31,53,61,70,66,70,69,79,61,81,80,66,42,85,67,48,36,52,50,66,73,70,13,14,6,9,12
E. Lee,66,England,CAM,24,180,72,57,66,59,66,61,67,60,60,58,65,71,73,68,61,70,65,62,66,65,63,56,37,65,64,59,62,35,44,40,14,8,15,14,9
E. Ledesma,64,Argentina,RM,31,183,74,60,56,49,59,53,64,65,65,58,63,70,70,72,63,67,59,68,60,60,65,59,31,62,65,59,62,56,29,32,7,15,13,6,6
E. Le Fée,63,France,CAM,19,170,58,57,48,44,69,45,67,68,48,68,69,63,64,67,52,88,55,60,51,32,47,44,54,58,63,54,65,44,53,47,8,11,14,13,10
E. Larsson,68,Sweden,RWB,27,175,68,72,45,47,64,49,61,62,62,61,57,61,68,74,62,80,67,83,84,72,64,75,68,52,68,50,57,65,64,69,16,8,6,9,11
E. Kılınç,70,Turkey,LM,24,174,68,69,68,36,71,40,73,58,50,60,73,79,77,78,69,64,64,43,72,49,66,37,32,55,58,52,51,36,31,36,15,6,11,14,14
E. Kaş,68,Turkey,LB,27,183,75,69,55,53,67,63,72,68,64,64,74,76,75,75,67,72,72,56,68,63,67,74,68,62,64,56,66,65,67,62,9,13,12,6,7
E. Karic,65,Austria,LB,22,186,81,64,38,58,65,29,60,40,41,44,63,71,79,63,62,54,51,49,78,71,34,62,57,44,43,38,50,55,63,58,11,10,8,11,11
E. Käck,67,Sweden,LB,29,173,68,69,37,52,59,45,58,66,63,56,60,87,83,72,58,83,65,81,87,56,57,55,65,53,57,39,57,64,59,62,8,7,13,12,13
E. Juárez,68,Mexico,RB,31,180,76,66,50,59,68,41,65,68,51,64,69,70,71,67,66,62,64,64,80,72,57,72,66,65,67,51,64,66,66,62,7,7,10,10,11
E. Johansen,64,Norway,GK,26,201,102,11,12,24,11,13,25,19,20,21,14,20,34,35,63,40,49,54,31,64,13,35,17,13,35,21,52,8,16,14,60,63,65,61,69
E. Iyoha,68,Germany,LW,21,191,86,58,66,49,58,59,72,61,40,43,68,71,84,72,69,60,71,60,75,72,61,31,16,72,46,56,66,21,13,13,11,14,13,5,14
E. Isnaldo,68,Argentina,LM,25,180,72,62,65,42,73,57,67,63,45,59,71,78,76,70,61,76,70,60,67,62,60,48,27,62,62,61,55,27,31,36,10,15,9,9,7
E. Iñíguez,66,Argentina,RB,22,177,70,64,24,59,53,28,55,35,29,50,64,71,72,69,54,58,43,76,73,60,25,54,65,42,50,46,64,67,70,67,13,14,6,12,6
E. Hussain,69,Norway,LDM,26,176,69,58,61,49,71,62,69,69,63,67,68,71,65,78,70,79,69,68,78,54,62,72,65,68,68,65,63,62,62,65,10,16,15,8,6
E. Hovland,68,Norway,RCB,30,191,90,38,21,65,53,15,32,25,23,57,58,52,65,41,67,38,31,70,63,87,28,60,67,30,43,20,57,65,67,66,9,6,13,12,7
E. Hewitt,62,Wales,RB,25,180,75,63,54,45,61,22,63,36,27,59,64,74,73,81,59,79,26,67,87,69,40,55,56,54,59,22,62,65,62,58,15,11,8,12,13
E. Gülüm,66,Turkey,LCB,32,185,85,48,43,64,63,38,53,30,44,60,56,64,52,58,62,53,70,76,79,84,55,80,63,39,44,49,60,61,62,60,7,9,13,14,16
E. Guerrero,62,Chile,RCB,28,180,84,31,21,53,55,25,32,33,33,40,35,48,44,32,59,38,35,66,55,79,27,60,56,33,27,38,43,56,68,66,10,10,13,8,13
E. Gómez,66,Argentina,LB,25,176,72,62,53,63,67,49,69,47,39,63,69,75,76,72,66,68,51,57,74,69,49,69,58,69,58,48,63,49,65,66,13,15,10,15,8
E. Godoy,66,Chile,RCB,32,186,79,42,36,65,60,24,30,22,29,49,32,52,55,56,66,50,34,78,74,81,19,69,61,31,28,37,56,67,67,59,8,16,14,13,13
E. Fryers,65,England,LB,26,183,80,64,35,60,58,32,64,62,63,53,61,75,74,72,63,64,51,72,63,70,38,64,62,55,50,43,57,63,65,64,7,14,14,6,11
E. Friberg,67,Sweden,LCM,33,179,70,69,58,46,70,50,58,73,66,69,67,33,53,63,64,63,57,76,79,63,58,73,53,64,70,47,64,64,55,45,2,2,2,2,2
E. Finlay,69,United States,RM,28,175,75,63,64,58,67,51,65,68,49,54,66,84,80,69,66,69,68,61,77,56,60,57,42,67,65,58,65,48,37,23,16,10,10,7,12
E. Farias,67,Chile,RDM,30,179,72,45,33,63,64,34,57,36,34,63,61,49,53,58,54,55,57,79,75,73,49,60,69,39,56,54,62,72,70,65,13,9,16,16,14
E. Falkenburg,69,Netherlands,LW,31,187,84,60,72,80,64,66,67,61,63,62,68,47,44,66,67,57,69,67,60,73,72,43,29,68,65,58,71,44,32,30,6,12,14,16,10
E. Embleton,60,England,CAM,20,173,64,52,49,49,62,48,60,55,60,59,61,65,58,63,58,68,62,63,58,53,57,47,49,55,63,51,47,53,53,52,6,13,15,6,13
E. Ekpolo,66,Nigeria,RB,24,180,73,62,32,58,61,42,66,60,44,54,64,74,78,59,60,64,44,58,78,81,34,74,58,50,48,42,65,61,64,63,6,8,7,16,8
E. Ebanks-Landell,65,England,CB,26,188,88,51,39,61,52,35,52,32,22,52,52,59,61,54,58,55,66,68,60,79,58,70,62,33,52,36,49,64,66,64,10,8,8,7,11
E. Domaschke,66,Germany,GK,33,188,86,11,10,13,23,10,19,10,12,22,22,36,40,41,63,53,49,62,24,69,12,29,13,15,46,22,38,8,15,10,67,66,65,63,66
E. Dina Ebimbe,63,France,RM,18,183,77,58,33,64,67,39,62,54,46,63,67,72,73,66,59,67,68,71,67,72,50,67,53,58,62,51,55,56,61,59,6,11,14,12,5
E. Dieseruvwe,60,England,LS,24,196,80,35,58,62,50,47,55,39,30,39,58,69,75,56,53,50,59,59,67,76,52,64,16,59,47,57,54,22,25,24,15,8,8,6,12
E. Dahl Reitan,61,Norway,RB,21,180,70,53,45,48,58,43,57,36,31,51,59,74,74,67,53,63,52,66,71,58,38,60,57,53,45,40,54,61,60,59,11,8,11,11,11
E. Cömert,65,Switzerland,RCB,21,183,80,29,23,61,58,30,25,25,27,43,68,65,69,65,58,62,70,80,72,76,45,55,55,33,38,35,51,61,67,67,6,8,5,7,6
E. Chaux,69,Colombia,GK,27,189,79,19,12,11,24,18,17,19,13,24,16,45,46,40,65,39,45,62,38,76,19,20,25,17,20,24,23,23,16,13,69,65,60,68,74
E. Castro,67,Mexico,LCB,30,185,79,28,16,69,51,19,46,40,50,48,53,52,65,61,63,50,55,68,58,76,21,73,60,33,31,42,52,66,69,64,8,12,10,6,12
E. Castillo,68,United States,LB,32,170,77,65,52,51,66,53,69,65,60,59,67,78,78,82,69,73,69,89,75,65,62,70,64,64,66,64,59,66,63,65,14,8,6,13,10
E. Castañeda,66,Colombia,LCB,26,182,81,24,40,64,55,38,31,40,60,51,42,52,58,49,57,55,70,74,47,77,65,65,62,24,32,37,55,61,70,68,16,15,14,15,14
E. Capradossi,68,Italy,LCB,23,185,78,16,17,67,46,21,21,29,16,39,48,65,63,66,55,65,30,70,68,67,21,72,66,19,19,23,55,72,72,71,9,6,8,10,15
E. Bwomono,64,England,RB,20,183,72,59,37,55,57,38,62,53,40,54,59,85,83,74,58,77,50,70,73,66,42,56,59,55,53,44,57,59,62,60,7,10,9,8,6
E. Bush,67,United States,GK,33,186,83,16,19,20,34,11,19,13,18,36,23,41,41,34,63,39,47,71,45,74,15,45,20,18,50,22,49,18,11,15,68,64,63,66,69
E. Brophy,69,Scotland,ST,23,174,68,53,70,62,68,58,66,72,70,48,68,79,75,80,59,74,72,85,78,74,68,64,38,65,68,72,61,23,27,23,14,7,13,15,10
E. Brambila,65,Mexico,LDM,33,172,68,63,63,56,67,55,66,65,55,66,64,69,64,65,66,73,64,72,70,68,65,45,51,66,68,65,69,50,41,55,8,12,14,13,13
E. Bonifacio,67,Argentina,RM,25,169,65,64,33,61,54,31,61,41,46,36,64,70,71,72,63,73,35,81,70,57,37,62,64,54,45,55,52,65,68,69,10,7,15,11,6
E. Bennett,69,England,RB,30,175,73,70,60,46,67,64,67,64,66,65,67,77,77,73,63,72,72,51,80,67,74,62,61,66,67,64,59,67,70,65,8,13,8,10,8
E. Bekiroglu,63,Germany,LCM,23,185,84,44,60,47,65,57,65,52,49,56,64,65,68,70,60,68,66,58,67,73,58,59,41,59,59,55,63,32,41,32,11,11,12,12,11
E. Barli,66,Norway,GK,27,187,81,12,11,13,20,13,12,11,11,23,16,29,23,59,63,68,47,63,40,72,11,16,28,16,64,14,47,9,16,17,67,64,63,65,67
E. Banguera,68,Colombia,LB,22,185,75,64,30,57,64,36,54,46,25,42,65,66,64,62,69,62,65,82,76,70,30,75,68,26,40,31,66,66,69,65,14,8,9,14,11
E. Asante,70,Ghana,RM,30,171,69,66,64,54,64,60,65,47,31,56,66,92,94,92,66,76,67,85,77,50,52,50,47,71,63,40,65,31,48,46,8,10,12,10,13
E. Andersson,65,Sweden,LCM,23,178,74,68,42,32,68,54,68,69,63,67,68,60,61,71,59,73,65,67,61,59,58,52,53,60,66,50,62,52,53,48,8,7,9,15,7
E. Aiwu,64,Austria,RCB,18,184,77,50,38,64,60,34,57,30,31,52,42,68,63,70,61,63,55,73,64,72,39,63,60,44,43,34,58,58,68,64,9,14,13,14,7
E. Adebayo,61,England,LS,21,193,89,43,57,57,52,51,57,50,39,42,59,71,77,64,55,55,63,65,71,79,53,75,30,57,50,58,56,35,34,28,6,11,9,11,11
E. Acolatse,68,Netherlands,LM,23,180,80,68,66,50,66,63,72,61,39,60,66,80,82,67,62,66,71,85,51,72,66,44,20,62,62,48,65,21,26,27,7,12,11,7,6
Douglas Vieira,69,Brazil,ST,31,189,83,64,70,71,65,60,64,53,53,59,67,67,62,66,64,36,64,67,72,84,62,68,23,69,59,68,65,23,23,23,13,11,13,11,15
Douglas Tanque,69,Brazil,ST,25,188,92,29,71,76,55,65,60,48,64,28,63,38,34,37,72,35,76,51,61,93,66,53,19,74,54,65,69,29,28,29,15,10,12,14,14
Dong Xuesheng,66,China PR,LCM,30,186,82,50,68,77,55,60,57,53,45,55,54,63,55,64,64,63,69,71,71,81,59,58,58,68,46,55,65,39,14,18,12,14,9,7,10
Diogildo Peixe,70,Brazil,LM,31,181,71,71,61,61,67,72,77,45,55,56,71,71,72,83,66,81,71,54,62,61,67,45,34,61,71,66,62,10,24,23,10,12,7,10,7
Ding Jie,60,China PR,RCM,32,182,70,45,54,56,60,37,32,52,52,55,59,61,55,62,56,56,61,57,67,63,50,57,60,54,55,30,55,64,58,48,11,11,13,7,13
Ding Haifeng,65,China PR,LB,27,182,71,65,47,47,65,42,65,65,69,55,67,82,77,81,64,77,49,54,70,61,31,55,62,60,64,45,59,59,57,54,9,11,11,8,15
Dieguinho,69,Brazil,RW,27,178,68,62,64,61,63,50,76,44,43,49,74,77,75,79,67,72,67,74,52,47,55,55,25,65,62,69,66,39,30,25,10,10,9,16,10
Derik,66,Spain,RCB,26,183,74,52,41,66,60,45,57,41,39,61,62,66,71,71,65,66,53,74,81,71,31,64,70,47,62,51,63,61,64,62,16,15,11,15,14
Dêniro Prestes,64,Brazil,RS,31,187,82,33,63,72,47,56,59,45,47,38,57,49,54,53,56,51,70,60,62,84,60,70,22,66,51,62,65,24,21,19,14,14,15,13,19
De La Hoz,68,Spain,LDM,27,179,74,43,67,55,68,34,63,36,32,66,67,37,64,59,68,71,43,71,84,71,68,59,66,65,66,42,55,62,65,63,8,12,12,9,12
David Simón,70,Spain,RB,29,175,68,65,42,61,68,36,60,64,40,63,65,71,78,65,66,74,57,72,91,63,45,70,65,67,43,38,60,57,68,69,15,12,7,8,11
David Rocha,67,Spain,LCM,34,179,73,64,60,55,66,56,65,74,75,67,68,56,51,63,61,70,75,65,70,70,70,74,58,64,67,69,65,59,62,59,12,11,10,13,12
David Barral,67,Spain,ST,36,180,79,57,67,69,57,66,63,64,59,48,62,64,66,65,67,67,68,74,55,72,60,86,35,70,58,73,72,20,49,44,11,10,7,9,15
Danilo Sacrio,66,Brazil,LS,27,176,72,43,66,60,52,68,67,43,46,38,64,85,87,86,61,78,70,75,50,64,58,56,25,57,41,58,62,18,28,26,13,10,7,12,9
Dani Ramírez,68,Spain,RM,27,175,70,64,62,53,68,49,72,67,73,59,71,72,68,65,59,78,66,52,74,59,63,45,41,65,68,71,49,34,32,29,13,7,8,10,10
Dani Barrio,65,Spain,GK,32,190,78,14,11,17,30,24,17,18,19,17,22,49,49,37,50,49,47,57,42,65,13,31,22,20,22,22,29,28,18,17,66,65,62,65,70
Dai Lin,68,China PR,RCB,31,188,79,49,44,70,57,36,56,45,65,59,53,57,64,54,62,53,75,60,71,77,65,80,63,50,49,47,66,67,66,70,14,9,10,10,14
D. Zúñiga,68,Chile,LB,22,170,73,69,34,45,65,35,63,48,44,62,62,76,74,65,59,73,59,62,82,69,55,45,61,59,49,38,57,67,68,66,6,13,13,13,15
D. Zeefuik,69,Netherlands,RB,21,177,76,68,35,62,65,38,70,43,39,57,64,77,79,71,66,76,55,92,75,76,29,83,62,54,52,46,66,67,71,68,6,5,6,10,10
D. Zbozień,68,Poland,RB,30,186,80,64,52,65,59,47,60,52,36,63,63,81,77,66,59,70,64,83,79,73,38,68,69,55,59,59,65,66,65,67,13,9,16,8,14
D. Worrall,65,England,RM,29,170,67,66,58,54,61,52,66,39,60,56,62,75,76,79,54,89,56,90,72,68,61,49,38,63,60,57,52,60,48,45,6,9,16,15,14
D. Wilson,68,Scotland,LDM,27,188,79,31,44,67,63,36,58,42,30,70,60,49,58,58,58,40,37,70,75,81,32,75,67,33,55,37,63,63,67,67,14,7,10,6,10
D. Williams,69,Republic of Ireland,LCB,26,180,75,66,40,67,65,35,65,39,32,57,61,68,72,61,66,61,44,83,73,74,48,71,72,49,46,47,60,68,70,69,7,9,6,10,10
D. Widgren,66,Sweden,LB,25,180,75,68,35,58,68,36,61,66,52,65,64,69,68,71,66,63,69,72,75,60,49,62,63,46,70,38,63,62,63,59,6,7,5,8,8
D. Widemann,63,Germany,LM,22,180,72,44,66,54,56,60,65,63,39,47,64,78,78,79,57,78,68,76,54,46,57,38,20,57,50,57,56,31,24,18,14,11,5,7,6
D. Whitehead,63,England,LCM,25,179,69,55,55,48,64,58,63,59,44,63,62,71,72,75,58,76,64,68,75,57,60,50,53,58,62,51,63,54,55,51,6,10,15,10,8
D. Wein,65,Germany,CDM,25,184,77,49,41,56,66,48,48,73,68,68,62,60,61,69,52,60,63,76,76,71,52,61,66,47,60,33,64,59,62,57,10,16,7,7,15
D. Węglarz,64,Poland,GK,23,187,75,14,17,17,19,19,17,13,13,20,20,30,35,32,56,32,44,31,22,45,19,22,13,17,37,21,22,13,19,18,63,64,59,62,67
D. Watts,61,Republic of Ireland,RDM,22,178,68,55,56,53,63,46,62,60,57,61,63,66,66,71,58,71,63,41,63,55,58,46,47,52,62,51,58,45,53,46,9,8,13,14,12
D. Vergara,67,Colombia,LAM,22,172,72,53,67,42,56,52,71,41,27,49,64,75,73,79,65,66,55,53,91,65,61,42,38,70,67,61,63,45,12,17,9,6,9,7,13
D. Vega,67,Argentina,GK,35,188,91,9,15,13,20,12,14,12,20,20,15,21,29,63,65,42,50,60,45,73,17,33,18,11,32,30,53,15,15,14,67,62,66,69,65
D. Valdés,70,Colombia,ST,28,178,76,38,75,73,47,55,66,47,44,35,66,81,76,80,66,67,70,75,66,67,52,67,23,69,55,62,64,25,25,22,14,11,13,10,8
D. Undav,64,Germany,LCM,22,178,86,40,65,57,48,62,59,60,49,29,64,63,62,68,57,85,69,66,59,78,59,68,18,63,49,29,59,25,36,29,9,12,9,11,13
D. Ulvestad,68,Norway,RCB,30,189,84,33,39,66,59,42,35,35,21,56,53,41,41,47,66,44,67,77,64,80,42,71,68,38,40,40,63,69,66,59,12,11,10,16,14
D. Toth,68,Austria,RCM,32,173,68,64,54,48,76,50,59,66,72,66,67,73,63,84,68,84,62,79,77,61,65,63,60,56,68,66,55,72,69,62,15,16,6,10,8
